County Name,State FIPS,County Code,County FIPS,ZipCode,File Date,Neighborhood
Bronx,36,005,36005,10451,07/25/2007,High Bridge and Morrisania
Bronx,36,005,36005,10452,07/25/2007,High Bridge and Morrisania
Bronx,36,005,36005,10453,07/25/2007,Central Bronx
Bronx,36,005,36005,10454,07/25/2007,Hunts Point and Mott Haven
Bronx,36,005,36005,10455,07/25/2007,Hunts Point and Mott Haven
Bronx,36,005,36005,10456,07/25/2007,High Bridge and Morrisania
Bronx,36,005,36005,10457,07/25/2007,Central Bronx
Bronx,36,005,36005,10458,07/25/2007,Bronx Park and Fordham
Bronx,36,005,36005,10459,07/25/2007,Hunts Point and Mott Haven
Bronx,36,005,36005,10460,07/25/2007,Central Bronx
Bronx,36,005,36005,10461,07/25/2007,Southeast Bronx
Bronx,36,005,36005,10462,07/25/2007,Southeast Bronx
Bronx,36,005,36005,10463,07/25/2007,Kingsbridge and Riverdale
Bronx,36,005,36005,10464,07/25/2007,Southeast Bronx
Bronx,36,005,36005,10465,07/25/2007,Southeast Bronx
Bronx,36,005,36005,10466,07/25/2007,Northeast Bronx
Bronx,36,005,36005,10467,07/25/2007,Bronx Park and Fordham
Bronx,36,005,36005,10468,07/25/2007,Bronx Park and Fordham
Bronx,36,005,36005,10469,07/25/2007,Northeast Bronx
Bronx,36,005,36005,10470,07/25/2007,Northeast Bronx
Bronx,36,005,36005,10471,07/25/2007,Kingsbridge and Riverdale
Bronx,36,005,36005,10472,07/25/2007,Southeast Bronx
Bronx,36,005,36005,10473,07/25/2007,Southeast Bronx
Bronx,36,005,36005,10474,07/25/2007,Hunts Point and Mott Haven
Bronx,36,005,36005,10475,07/25/2007,Northeast Bronx
Bronx,36,005,36005,10499,07/25/2007,NA
Bronx,36,005,36005,10550,07/25/2007,NA
Bronx,36,005,36005,10704,07/25/2007,NA
Bronx,36,005,36005,10705,07/25/2007,NA
Bronx,36,005,36005,10803,07/25/2007,NA
Kings,36,047,36047,11201,07/25/2007,Northwest Brooklyn
Kings,36,047,36047,11202,07/25/2007,NA
Kings,36,047,36047,11203,07/25/2007,Flatbush
Kings,36,047,36047,11204,07/25/2007,Borough Park
Kings,36,047,36047,11205,07/25/2007,Northwest Brooklyn
Kings,36,047,36047,11206,07/25/2007,Bushwick and Williamsburg
Kings,36,047,36047,11207,07/25/2007,East New York and New Lots
Kings,36,047,36047,11208,07/25/2007,East New York and New Lots
Kings,36,047,36047,11209,07/25/2007,Southwest Brooklyn
Kings,36,047,36047,11210,07/25/2007,Flatbush
Kings,36,047,36047,11211,07/25/2007,Greenpoint
Kings,36,047,36047,11212,07/25/2007,Central Brooklyn
Kings,36,047,36047,11213,07/25/2007,Central Brooklyn
Kings,36,047,36047,11214,07/25/2007,Southwest Brooklyn
Kings,36,047,36047,11215,07/25/2007,Northwest Brooklyn
Kings,36,047,36047,11216,07/25/2007,Central Brooklyn
Kings,36,047,36047,11217,07/25/2007,Northwest Brooklyn
Kings,36,047,36047,11218,07/25/2007,Borough Park
